age,monthly_income,loan_amount,tenure_months,num_credit_lines,job_type,education_level,city,marital_status,has_previous_default,target
34.0,20527438.0,26777074.0,66.0,3.0,civil_servant,high_school,Surabaya,divorced,0.0,0
59.0,23715682.0,44253977.0,71.0,0.0,civil_servant,master,Yogyakarta,married,1.0,0
47.0,27628603.0,55944737.0,49.0,4.0,civil_servant,bachelor,Jakarta,single,0.0,1
37.0,33165785.0,41975572.0,31.0,6.0,freelance,master,Bandung,married,0.0,0
29.0,23944344.0,13434596.0,53.0,2.0,freelance,diploma,Surabaya,divorced,0.0,0
23.0,25839396.0,27318139.0,18.0,2.0,civil_servant,master,Bandung,married,1.0,0
56.0,26275632.0,43600928.0,17.0,2.0,employee,high_school,Yogyakarta,divorced,0.0,0
40.0,29678205.0,44200985.0,14.0,7.0,employee,diploma,Jakarta,divorced,0.0,0
45.0,28476722.0,29590844.0,23.0,8.0,entrepreneur,master,Yogyakarta,divorced,1.0,1
32.0,17260806.0,8360194.0,19.0,9.0,entrepreneur,diploma,Surabaya,divorced,1.0,1
23.0,14442339.0,75878938.0,11.0,4.0,freelance,high_school,Surabaya,married,0.0,1
29.0,27694639.0,54999178.0,51.0,7.0,civil_servant,bachelor,Surabaya,divorced,0.0,1
26.0,13875697.0,6241008.0,24.0,5.0,entrepreneur,bachelor,Surabaya,divorced,0.0,0
29.0,9609088.0,36393711.0,34.0,9.0,entrepreneur,bachelor,Jakarta,divorced,0.0,1
26.0,29992877.0,5637170.0,36.0,9.0,civil_servant,diploma,Surabaya,divorced,0.0,0
44.0,18317977.0,32697886.0,50.0,6.0,civil_servant,high_school,Bandung,single,0.0,0
25.0,11825345.0,3619145.0,57.0,9.0,freelance,master,Jakarta,married,0.0,0
44.0,3131568.0,8435937.0,63.0,4.0,civil_servant,high_school,Jakarta,married,0.0,1
43.0,22408815.0,68306952.0,62.0,9.0,civil_servant,master,Surabaya,single,0.0,0
56.0,9278872.0,67052017.0,54.0,4.0,civil_servant,master,Jakarta,married,0.0,1
40.0,27905392.0,55246818.0,29.0,7.0,freelance,diploma,Yogyakarta,divorced,0.0,0
25.0,26375524.0,69626382.0,38.0,9.0,freelance,high_school,Jakarta,single,0.0,1
33.0,18975744.0,43113390.0,30.0,5.0,civil_servant,high_school,Bekasi,divorced,0.0,0
40.0,24940087.0,38010209.0,15.0,5.0,entrepreneur,master,Bandung,single,0.0,0
33.0,18237473.0,63883217.0,31.0,5.0,entrepreneur,master,Yogyakarta,single,1.0,1
32.0,23806856.0,46147599.0,15.0,6.0,civil_servant,bachelor,Jakarta,divorced,0.0,0
31.0,22610021.0,57665939.0,72.0,5.0,freelance,master,Surabaya,divorced,0.0,0
40.0,27050389.0,33463130.0,49.0,10.0,employee,diploma,Surabaya,married,1.0,1
57.0,26558222.0,14572731.0,33.0,5.0,civil_servant,diploma,Surabaya,divorced,0.0,0
58.0,20592425.0,29986352.0,66.0,8.0,employee,master,Bekasi,single,0.0,0
49.0,25434008.0,71697734.0,46.0,4.0,employee,master,Jakarta,divorced,0.0,1
58.0,3747272.0,45416397.0,67.0,9.0,entrepreneur,master,Yogyakarta,single,0.0,1
60.0,18002497.0,39743221.0,15.0,3.0,employee,diploma,Surabaya,single,0.0,1
51.0,24117330.0,26734716.0,11.0,3.0,entrepreneur,bachelor,Jakarta,married,0.0,1
55.0,19074054.0,33530350.0,66.0,2.0,employee,diploma,Surabaya,married,0.0,0
52.0,11788453.0,61699301.0,34.0,10.0,entrepreneur,diploma,Bekasi,divorced,0.0,1
39.0,10060272.0,75010950.0,55.0,2.0,entrepreneur,high_school,Jakarta,divorced,0.0,0
32.0,15100859.0,78804068.0,30.0,4.0,entrepreneur,high_school,Bandung,married,0.0,0
58.0,9236786.0,36311743.0,25.0,5.0,civil_servant,high_school,Yogyakarta,divorced,0.0,0
41.0,19694942.0,27435447.0,10.0,9.0,freelance,high_school,Jakarta,divorced,0.0,0
25.0,9552217.0,10479838.0,32.0,9.0,entrepreneur,bachelor,Yogyakarta,married,0.0,0
53.0,12515265.0,48893979.0,45.0,10.0,employee,high_school,Yogyakarta,single,1.0,1
23.0,7972785.0,38585287.0,35.0,2.0,employee,bachelor,Bandung,married,0.0,0
51.0,29985420.0,45666782.0,41.0,6.0,employee,bachelor,Bandung,married,0.0,0
32.0,15028753.0,60762468.0,67.0,2.0,civil_servant,diploma,Yogyakarta,divorced,0.0,1
43.0,15267517.0,1702492.0,70.0,7.0,civil_servant,high_school,Yogyakarta,single,0.0,0
46.0,31669290.0,69948727.0,68.0,8.0,civil_servant,master,Jakarta,divorced,0.0,0
55.0,29447647.0,57910582.0,42.0,10.0,employee,master,Bandung,single,0.0,0
59.0,3181814.0,56444932.0,69.0,3.0,entrepreneur,high_school,Jakarta,single,0.0,1
55.0,12004602.0,33038544.0,7.0,2.0,employee,diploma,Jakarta,divorced,0.0,1
39.0,29596452.0,1200405.0,63.0,3.0,entrepreneur,bachelor,Bekasi,divorced,0.0,0
35.0,18348945.0,67228936.0,22.0,10.0,entrepreneur,diploma,Bandung,married,0.0,1
40.0,9268954.0,47967087.0,7.0,3.0,entrepreneur,high_school,Surabaya,single,0.0,0
39.0,15688614.0,39141437.0,69.0,8.0,freelance,bachelor,Yogyakarta,divorced,0.0,1
34.0,14917559.0,34727884.0,6.0,3.0,freelance,bachelor,Yogyakarta,single,0.0,1
33.0,13247950.0,8558835.0,53.0,6.0,entrepreneur,diploma,Bandung,divorced,0.0,0
34.0,19593704.0,24775345.0,52.0,7.0,entrepreneur,bachelor,Jakarta,divorced,1.0,0
53.0,21450711.0,46358542.0,42.0,8.0,entrepreneur,master,Yogyakarta,married,0.0,1
33.0,14412361.0,50203050.0,31.0,9.0,employee,bachelor,Bandung,married,0.0,1
40.0,17348574.0,16512413.0,44.0,2.0,employee,master,Jakarta,single,0.0,0
27.0,16768142.0,45071972.0,16.0,4.0,freelance,diploma,Bandung,single,0.0,1
43.0,18095457.0,39092441.0,20.0,5.0,employee,master,Yogyakarta,married,0.0,0
58.0,15160596.0,74724630.0,34.0,1.0,employee,diploma,Bekasi,single,1.0,0
40.0,27264755.0,49288226.0,70.0,6.0,freelance,master,Bandung,single,0.0,0
37.0,29316464.0,60169964.0,43.0,6.0,civil_servant,master,Yogyakarta,married,0.0,1
31.0,25643579.0,37848952.0,6.0,3.0,entrepreneur,master,Surabaya,divorced,0.0,1
32.0,28383196.0,48074143.0,11.0,2.0,freelance,diploma,Bekasi,single,0.0,0
60.0,3272636.0,31168681.0,18.0,0.0,employee,master,Yogyakarta,divorced,0.0,0
26.0,32072105.0,57488382.0,42.0,5.0,civil_servant,diploma,Bandung,married,0.0,0
43.0,11674883.0,78931546.0,50.0,9.0,civil_servant,master,Yogyakarta,married,0.0,1
39.0,34398571.0,43178716.0,32.0,2.0,freelance,diploma,Yogyakarta,single,0.0,0
59.0,26610757.0,11073038.0,33.0,0.0,freelance,bachelor,Bandung,divorced,0.0,0
38.0,12251720.0,70405309.0,44.0,6.0,civil_servant,master,Bekasi,divorced,0.0,0
30.0,25487227.0,39726981.0,21.0,10.0,freelance,diploma,Bandung,divorced,0.0,0
40.0,4164267.0,3007530.0,34.0,0.0,entrepreneur,master,Bandung,married,0.0,0
57.0,5623823.0,11476764.0,55.0,8.0,entrepreneur,high_school,Yogyakarta,divorced,0.0,1
30.0,33367399.0,79262206.0,52.0,1.0,entrepreneur,master,Yogyakarta,single,0.0,0
33.0,33028970.0,3731092.0,47.0,9.0,entrepreneur,bachelor,Surabaya,married,0.0,1
47.0,26431112.0,18193662.0,11.0,9.0,employee,high_school,Bandung,single,0.0,0
34.0,12957120.0,58592705.0,17.0,8.0,employee,bachelor,Jakarta,single,0.0,1
21.0,4390586.0,3615533.0,19.0,0.0,civil_servant,bachelor,Bekasi,married,1.0,0
49.0,5589706.0,32790915.0,38.0,6.0,entrepreneur,bachelor,Yogyakarta,divorced,1.0,1
47.0,6462668.0,42432581.0,31.0,5.0,freelance,high_school,Bandung,single,0.0,0
51.0,4413055.0,67430411.0,49.0,5.0,employee,diploma,Yogyakarta,divorced,0.0,0
55.0,31804505.0,21741000.0,28.0,5.0,entrepreneur,bachelor,Jakarta,single,0.0,0
59.0,4990094.0,10649948.0,49.0,10.0,freelance,high_school,Surabaya,single,0.0,1
22.0,33898727.0,44308592.0,30.0,10.0,civil_servant,diploma,Yogyakarta,single,0.0,0
59.0,9673781.0,45333614.0,59.0,5.0,employee,diploma,Bandung,single,0.0,1
51.0,32214130.0,79730349.0,47.0,5.0,civil_servant,diploma,Surabaya,married,0.0,1
58.0,26808382.0,65895707.0,29.0,7.0,employee,high_school,Surabaya,married,0.0,0
35.0,10227894.0,30535359.0,33.0,6.0,entrepreneur,diploma,Jakarta,single,0.0,1
46.0,14448067.0,5112315.0,53.0,10.0,entrepreneur,master,Surabaya,divorced,0.0,1
59.0,31205832.0,72705586.0,9.0,9.0,civil_servant,diploma,Bekasi,married,0.0,0
36.0,3920153.0,12666412.0,67.0,2.0,freelance,master,Bandung,divorced,0.0,0
58.0,10869215.0,66619564.0,58.0,0.0,civil_servant,diploma,Bekasi,single,0.0,0
26.0,31440102.0,69654330.0,14.0,5.0,freelance,diploma,Surabaya,married,0.0,1
32.0,21499167.0,39460909.0,43.0,6.0,freelance,bachelor,Bekasi,married,0.0,0
36.0,23645511.0,57764285.0,8.0,6.0,civil_servant,master,Bandung,married,0.0,0
59.0,19576801.0,25968443.0,66.0,1.0,freelance,high_school,Jakarta,single,0.0,0
33.0,24798508.0,71045835.0,64.0,3.0,civil_servant,master,Surabaya,single,0.0,1
46.0,5167666.0,36075602.0,47.0,5.0,employee,diploma,Bekasi,single,0.0,0
45.0,22876614.0,67186141.0,50.0,3.0,civil_servant,diploma,Bekasi,married,0.0,0
29.0,32352278.0,55960217.0,46.0,4.0,entrepreneur,master,Bekasi,single,1.0,0
43.0,12550738.0,13810535.0,12.0,6.0,civil_servant,master,Bekasi,single,1.0,1
42.0,12319301.0,49712952.0,43.0,5.0,civil_servant,bachelor,Yogyakarta,divorced,0.0,0
25.0,12707787.0,76661991.0,64.0,8.0,civil_servant,diploma,Surabaya,married,1.0,1
32.0,7593163.0,54459143.0,61.0,3.0,entrepreneur,high_school,Bekasi,married,0.0,0
40.0,29009764.0,21069966.0,61.0,2.0,entrepreneur,diploma,Jakarta,divorced,0.0,0
48.0,34826659.0,68878996.0,54.0,9.0,employee,master,Bandung,married,1.0,0
54.0,13115653.0,54755382.0,25.0,7.0,freelance,high_school,Surabaya,married,0.0,0
46.0,14735774.0,9222317.0,20.0,2.0,civil_servant,master,Yogyakarta,single,0.0,1
47.0,32132867.0,61521940.0,33.0,10.0,entrepreneur,high_school,Yogyakarta,single,0.0,1
27.0,26354231.0,48653768.0,37.0,4.0,civil_servant,bachelor,Surabaya,divorced,0.0,0
23.0,3775523.0,7022969.0,36.0,3.0,entrepreneur,diploma,Jakarta,divorced,1.0,1
57.0,9626594.0,7791960.0,57.0,5.0,civil_servant,bachelor,Surabaya,married,0.0,0
24.0,15117721.0,10043748.0,20.0,8.0,employee,high_school,Surabaya,married,0.0,1
60.0,16514151.0,29158019.0,23.0,8.0,freelance,diploma,Jakarta,married,0.0,1
27.0,27241718.0,17339721.0,37.0,2.0,freelance,diploma,Bekasi,married,0.0,0
39.0,25782250.0,46878071.0,20.0,8.0,employee,diploma,Surabaya,divorced,0.0,1
54.0,27566444.0,59718914.0,23.0,6.0,entrepreneur,master,Bekasi,married,0.0,1
35.0,11495832.0,57302879.0,63.0,10.0,entrepreneur,diploma,Jakarta,single,0.0,1
60.0,3705629.0,73442196.0,65.0,9.0,entrepreneur,bachelor,Bekasi,divorced,0.0,1
23.0,19952103.0,15238237.0,15.0,7.0,employee,master,Bandung,married,1.0,0
37.0,12485973.0,59846777.0,33.0,6.0,entrepreneur,diploma,Jakarta,single,0.0,0
46.0,25090405.0,42558863.0,11.0,9.0,entrepreneur,high_school,Surabaya,single,0.0,1
60.0,16368002.0,8506789.0,33.0,5.0,employee,diploma,Bekasi,single,0.0,0
43.0,20842918.0,1119821.0,16.0,9.0,entrepreneur,diploma,Bandung,divorced,0.0,1
55.0,11371354.0,32839533.0,41.0,3.0,civil_servant,diploma,Yogyakarta,divorced,0.0,0
25.0,27031577.0,73198098.0,30.0,6.0,civil_servant,master,Bekasi,married,0.0,0
27.0,13167012.0,43359908.0,34.0,7.0,entrepreneur,master,Bandung,married,1.0,1
32.0,10634874.0,69153943.0,62.0,4.0,freelance,master,Bekasi,divorced,0.0,1
50.0,11285126.0,26485457.0,43.0,5.0,employee,high_school,Yogyakarta,married,1.0,1
29.0,4968985.0,63796486.0,57.0,4.0,civil_servant,master,Bekasi,married,1.0,1
45.0,17088262.0,37308853.0,19.0,8.0,employee,diploma,Jakarta,single,1.0,0
53.0,5848725.0,77553165.0,7.0,5.0,civil_servant,master,Bekasi,married,0.0,1
43.0,22298188.0,38397776.0,60.0,1.0,freelance,master,Jakarta,single,0.0,0
56.0,20662334.0,51818170.0,54.0,9.0,civil_servant,diploma,Jakarta,single,0.0,1
47.0,5655102.0,73813758.0,14.0,10.0,freelance,high_school,Surabaya,married,0.0,1
23.0,31820157.0,57336816.0,33.0,5.0,civil_servant,diploma,Surabaya,divorced,0.0,1
60.0,5811162.0,55200827.0,69.0,10.0,civil_servant,high_school,Bekasi,single,0.0,1
49.0,30020238.0,46853038.0,64.0,5.0,civil_servant,diploma,Bandung,married,0.0,1
28.0,8886342.0,2502910.0,31.0,10.0,freelance,high_school,Bekasi,married,0.0,1
52.0,25389892.0,13292286.0,24.0,9.0,freelance,bachelor,Surabaya,married,0.0,1
58.0,31519988.0,47142500.0,52.0,1.0,entrepreneur,high_school,Bandung,married,0.0,0
52.0,11325810.0,54991371.0,48.0,2.0,freelance,high_school,Bandung,married,0.0,0
34.0,6944602.0,1661744.0,21.0,1.0,employee,high_school,Bandung,married,0.0,0
57.0,25375699.0,21041667.0,22.0,2.0,freelance,master,Surabaya,single,0.0,0
51.0,13188851.0,79592861.0,50.0,8.0,freelance,master,Bekasi,divorced,0.0,0
44.0,10813881.0,48922291.0,41.0,8.0,civil_servant,high_school,Surabaya,divorced,0.0,1
32.0,7476762.0,24894591.0,45.0,9.0,employee,diploma,Yogyakarta,married,0.0,1
28.0,26826623.0,36933439.0,26.0,10.0,civil_servant,diploma,Bandung,single,0.0,0
30.0,29780709.0,36379640.0,44.0,10.0,employee,high_school,Surabaya,divorced,0.0,1
26.0,33876377.0,13904746.0,24.0,0.0,civil_servant,high_school,Surabaya,divorced,0.0,0
23.0,5711774.0,49295022.0,43.0,2.0,employee,bachelor,Bandung,divorced,0.0,1
45.0,11622024.0,27502187.0,58.0,6.0,freelance,high_school,Jakarta,divorced,0.0,1
48.0,10328993.0,25265972.0,31.0,6.0,civil_servant,master,Surabaya,married,1.0,1
36.0,18704734.0,37844267.0,34.0,5.0,employee,master,Surabaya,single,0.0,1
35.0,25981174.0,15318344.0,13.0,0.0,entrepreneur,master,Jakarta,divorced,0.0,0
24.0,15164422.0,40834336.0,60.0,0.0,civil_servant,bachelor,Bekasi,single,0.0,0
38.0,7668642.0,10914983.0,58.0,4.0,entrepreneur,bachelor,Surabaya,married,1.0,0
40.0,19527167.0,73519283.0,35.0,9.0,freelance,diploma,Bandung,married,1.0,1
60.0,27759731.0,74713840.0,31.0,9.0,entrepreneur,high_school,Bekasi,married,0.0,0
21.0,5384766.0,17607569.0,25.0,2.0,employee,high_school,Surabaya,married,0.0,1
33.0,28306470.0,77672806.0,35.0,3.0,civil_servant,bachelor,Yogyakarta,married,0.0,0
57.0,20179584.0,46617770.0,18.0,1.0,employee,diploma,Bekasi,divorced,0.0,0
53.0,27644421.0,30619202.0,72.0,3.0,freelance,bachelor,Yogyakarta,married,0.0,0
43.0,33329124.0,42755060.0,57.0,10.0,freelance,master,Yogyakarta,single,1.0,1
43.0,28517552.0,22857725.0,43.0,9.0,freelance,diploma,Bekasi,single,0.0,0
40.0,32969421.0,10782239.0,47.0,9.0,civil_servant,high_school,Yogyakarta,divorced,0.0,0
26.0,16931002.0,36277177.0,10.0,3.0,freelance,high_school,Yogyakarta,married,0.0,0
37.0,25243160.0,63352663.0,15.0,9.0,entrepreneur,bachelor,Bekasi,married,1.0,1
30.0,5133387.0,60025840.0,38.0,7.0,employee,master,Yogyakarta,divorced,0.0,0
21.0,23922268.0,78197154.0,49.0,2.0,entrepreneur,diploma,Bekasi,married,0.0,1
25.0,24132492.0,5856162.0,70.0,5.0,entrepreneur,bachelor,Surabaya,married,0.0,0
26.0,18557814.0,39239993.0,25.0,9.0,civil_servant,bachelor,Bekasi,married,0.0,0
30.0,3712433.0,31373300.0,56.0,9.0,employee,master,Bandung,divorced,0.0,0
56.0,16133813.0,39719311.0,56.0,1.0,civil_servant,master,Bekasi,single,0.0,1
56.0,32694950.0,59001793.0,27.0,2.0,freelance,high_school,Bekasi,single,0.0,1
47.0,5172168.0,11399598.0,69.0,0.0,civil_servant,high_school,Jakarta,divorced,0.0,0
53.0,4241265.0,75371749.0,28.0,5.0,employee,bachelor,Bekasi,single,1.0,1
40.0,30953102.0,59114538.0,35.0,1.0,civil_servant,diploma,Bandung,single,0.0,1
44.0,31924448.0,58728184.0,72.0,5.0,freelance,diploma,Bandung,married,0.0,0
23.0,5487930.0,62327292.0,16.0,8.0,freelance,bachelor,Yogyakarta,single,0.0,1
31.0,6409586.0,70255324.0,44.0,1.0,civil_servant,diploma,Jakarta,single,1.0,1
34.0,33029945.0,46040255.0,20.0,4.0,freelance,diploma,Jakarta,single,0.0,1
47.0,26521094.0,15220962.0,62.0,6.0,freelance,high_school,Bandung,married,0.0,0
35.0,15228721.0,31865731.0,9.0,10.0,civil_servant,master,Bekasi,married,0.0,1
46.0,30028742.0,1069324.0,50.0,2.0,civil_servant,bachelor,Surabaya,single,0.0,0
55.0,15333824.0,63520612.0,72.0,1.0,civil_servant,master,Bandung,married,0.0,1
45.0,14939610.0,46904063.0,27.0,0.0,civil_servant,diploma,Bandung,divorced,0.0,1
47.0,13746681.0,15024881.0,31.0,3.0,freelance,bachelor,Bandung,single,0.0,0
21.0,11079490.0,23011412.0,23.0,7.0,employee,high_school,Yogyakarta,married,0.0,0
30.0,12822837.0,56646790.0,26.0,2.0,employee,diploma,Bekasi,married,0.0,0
32.0,18049421.0,46112925.0,10.0,5.0,civil_servant,master,Jakarta,divorced,0.0,1
29.0,18263732.0,51129677.0,7.0,8.0,employee,diploma,Bekasi,married,0.0,1
39.0,11477233.0,24772659.0,58.0,3.0,freelance,bachelor,Jakarta,single,0.0,1
42.0,9356774.0,1420028.0,65.0,0.0,civil_servant,master,Surabaya,married,0.0,1
50.0,22165745.0,17656123.0,31.0,4.0,civil_servant,high_school,Bekasi,single,0.0,0
34.0,22139469.0,72220514.0,33.0,2.0,entrepreneur,high_school,Bandung,married,0.0,0
43.0,34895200.0,1327419.0,34.0,10.0,entrepreneur,diploma,Jakarta,single,0.0,1
46.0,17578996.0,8620803.0,11.0,10.0,employee,master,Yogyakarta,divorced,0.0,1
35.0,33634049.0,65409199.0,24.0,7.0,civil_servant,master,Jakarta,divorced,0.0,0
46.0,4898322.0,48983649.0,72.0,3.0,entrepreneur,master,Bandung,single,0.0,0
53.0,16949216.0,20825275.0,69.0,5.0,civil_servant,master,Surabaya,single,1.0,1
32.0,4307241.0,19009668.0,51.0,8.0,civil_servant,high_school,Bandung,single,0.0,0
39.0,24029206.0,16364803.0,54.0,2.0,freelance,bachelor,Jakarta,divorced,1.0,1
48.0,22560284.0,49634721.0,27.0,9.0,employee,bachelor,Bandung,divorced,0.0,1
41.0,21658330.0,65777180.0,7.0,3.0,civil_servant,high_school,Jakarta,single,0.0,1
28.0,22175159.0,61315193.0,9.0,1.0,entrepreneur,high_school,Yogyakarta,single,0.0,1
47.0,23601756.0,23809042.0,27.0,8.0,freelance,master,Yogyakarta,single,0.0,0
33.0,15829445.0,7514044.0,38.0,2.0,freelance,bachelor,Bekasi,divorced,0.0,0
31.0,13276972.0,56798040.0,57.0,5.0,freelance,bachelor,Jakarta,divorced,0.0,1
49.0,32660123.0,58671370.0,43.0,2.0,freelance,diploma,Bekasi,married,0.0,0
43.0,9318769.0,42913580.0,12.0,10.0,employee,diploma,Surabaya,single,0.0,1
24.0,10897295.0,12332506.0,12.0,7.0,civil_servant,master,Jakarta,married,0.0,0
23.0,21673474.0,22851012.0,72.0,5.0,civil_servant,high_school,Jakarta,divorced,0.0,1
50.0,28426182.0,51199764.0,35.0,3.0,entrepreneur,diploma,Bandung,divorced,1.0,1
30.0,25282815.0,16128843.0,59.0,9.0,employee,bachelor,Yogyakarta,divorced,0.0,0
52.0,34877827.0,18949102.0,12.0,8.0,freelance,high_school,Jakarta,single,0.0,1
47.0,29416042.0,72698952.0,57.0,2.0,civil_servant,bachelor,Bekasi,married,0.0,0
44.0,8559801.0,50794479.0,66.0,7.0,employee,master,Bekasi,single,0.0,1
59.0,16606143.0,29698733.0,25.0,10.0,civil_servant,master,Bandung,divorced,0.0,1
42.0,19995995.0,71339397.0,49.0,3.0,entrepreneur,high_school,Bekasi,single,0.0,1
35.0,25698334.0,40090286.0,47.0,1.0,entrepreneur,diploma,Surabaya,married,0.0,1
22.0,15466672.0,1277825.0,61.0,8.0,civil_servant,bachelor,Bandung,single,1.0,1
42.0,15024976.0,36044086.0,63.0,1.0,civil_servant,master,Bandung,married,0.0,0
55.0,22467412.0,19552115.0,7.0,9.0,civil_servant,master,Yogyakarta,single,0.0,0
42.0,32042354.0,72411152.0,60.0,9.0,freelance,high_school,Jakarta,married,0.0,1
41.0,20992310.0,64308094.0,70.0,4.0,civil_servant,high_school,Yogyakarta,single,0.0,1
35.0,31052517.0,70055420.0,19.0,10.0,freelance,high_school,Bandung,divorced,0.0,1
58.0,9237672.0,48562432.0,43.0,4.0,civil_servant,master,Yogyakarta,divorced,0.0,0
45.0,24145854.0,55277707.0,26.0,7.0,civil_servant,high_school,Jakarta,single,0.0,1
24.0,20925734.0,78596603.0,25.0,6.0,freelance,master,Bekasi,divorced,0.0,0
44.0,12698869.0,70518375.0,72.0,6.0,employee,high_school,Bekasi,divorced,0.0,1
37.0,7185374.0,35884383.0,48.0,1.0,employee,master,Yogyakarta,divorced,0.0,0
28.0,33605962.0,49411686.0,54.0,8.0,entrepreneur,diploma,Bekasi,divorced,0.0,0
56.0,22349169.0,71432294.0,45.0,7.0,civil_servant,bachelor,Bekasi,divorced,0.0,0
24.0,23923444.0,42737183.0,17.0,6.0,employee,high_school,Jakarta,single,0.0,0
42.0,10293494.0,23302032.0,50.0,7.0,freelance,diploma,Surabaya,single,0.0,0
36.0,9045296.0,43814010.0,21.0,0.0,freelance,master,Bandung,married,0.0,0
21.0,12945025.0,24067472.0,53.0,1.0,freelance,bachelor,Surabaya,single,0.0,0
33.0,12951115.0,50957121.0,33.0,8.0,civil_servant,bachelor,Bekasi,married,0.0,1
26.0,19721875.0,40370810.0,67.0,9.0,civil_servant,high_school,Bandung,single,1.0,1
41.0,27491477.0,37511920.0,37.0,10.0,employee,high_school,Jakarta,married,0.0,0
54.0,20590881.0,47474326.0,9.0,9.0,civil_servant,master,Jakarta,married,0.0,1
29.0,14524632.0,65585178.0,16.0,3.0,freelance,bachelor,Jakarta,divorced,0.0,1
29.0,33892624.0,14583336.0,36.0,0.0,freelance,master,Bekasi,divorced,0.0,0
60.0,11914976.0,76987350.0,48.0,10.0,freelance,diploma,Surabaya,married,0.0,0
34.0,19374587.0,17687255.0,7.0,4.0,civil_servant,diploma,Yogyakarta,single,0.0,0
34.0,21151169.0,21733644.0,65.0,9.0,employee,master,Jakarta,single,0.0,0
30.0,20870437.0,68235272.0,9.0,2.0,entrepreneur,high_school,Surabaya,divorced,0.0,1
45.0,23093587.0,70802181.0,9.0,2.0,civil_servant,diploma,Bandung,single,0.0,1
48.0,24614297.0,18234341.0,21.0,8.0,employee,bachelor,Jakarta,divorced,0.0,0
37.0,29217109.0,32452564.0,59.0,9.0,freelance,master,Jakarta,single,0.0,1
38.0,22969270.0,50990436.0,20.0,9.0,civil_servant,diploma,Surabaya,married,0.0,0
23.0,19478246.0,40731294.0,57.0,5.0,freelance,high_school,Jakarta,single,0.0,0
58.0,34558642.0,55089920.0,66.0,8.0,employee,diploma,Bekasi,single,0.0,0
55.0,11051098.0,77346858.0,55.0,1.0,entrepreneur,diploma,Bekasi,single,0.0,0
27.0,18803396.0,70644236.0,8.0,8.0,civil_servant,bachelor,Bekasi,married,0.0,0
36.0,20461090.0,35192350.0,35.0,8.0,entrepreneur,bachelor,Bandung,divorced,0.0,0
40.0,20128415.0,47084403.0,10.0,2.0,employee,high_school,Yogyakarta,single,0.0,0
35.0,12464690.0,69310869.0,48.0,7.0,freelance,bachelor,Jakarta,single,0.0,0
43.0,31181063.0,15210121.0,50.0,5.0,entrepreneur,bachelor,Yogyakarta,divorced,0.0,0
21.0,20488035.0,70500496.0,62.0,7.0,entrepreneur,high_school,Yogyakarta,single,0.0,1
